pair_id,board_id,point_id,camera_x_mm,camera_y_mm,camera_z_mm,robot_x_mm,robot_y_mm,robot_z_mm,pred_robot_x_mm,pred_robot_y_mm,pred_robot_z_mm,error_mm,reprojection_error_px,image_path,debug_path
1,001,P1,164.902509,36.684493,783.317879,-293.585600,-677.687300,513.210000,-296.720799,-681.735169,513.768456,5.150397,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
2,001,P2,139.977963,37.333333,781.488662,-274.961600,-695.125700,512.871200,-278.181614,-698.497376,513.196549,4.673600,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
3,001,P3,115.053417,37.982174,779.659445,-257.052600,-712.387800,512.330300,-259.642429,-715.259582,512.624640,3.878271,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
4,001,P4,164.138822,11.744872,784.877395,-293.839300,-679.453700,538.220200,-296.751481,-682.621541,538.752720,4.335850,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
5,001,P5,139.214277,12.393712,783.048178,-275.551800,-695.353100,538.034400,-278.212297,-699.383747,538.180812,4.831749,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
6,001,P6,114.289731,13.042553,781.218961,-257.703400,-713.930800,537.241100,-259.673112,-716.145954,537.608903,2.986964,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
7,001,P7,163.375136,-13.194749,786.436912,-294.124100,-679.590600,563.335300,-296.782165,-683.507914,563.736983,4.751000,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
8,001,P8,138.450590,-12.545909,784.607695,-275.802900,-697.601800,562.874800,-278.242980,-700.270120,563.165075,3.627421,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
9,001,P9,113.526045,-11.897068,782.778478,-257.610800,-714.414400,562.324700,-259.703796,-717.032326,562.593166,3.362476,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
10,002,P1,-125.656681,120.235328,775.996781,-91.244800,-890.177400,431.110000,-92.439865,-889.077412,431.686315,1.723454,0.048299,D:\D435_Project\calibration_9points_user0\images\board_002.jpg,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
11,002,P2,-150.586674,119.776658,774.184317,-73.242300,-906.840800,432.006100,-73.883813,-905.822147,432.221791,1.222995,0.048299,D:\D435_Project\calibration_9points_user0\images\board_002.jpg,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
12,002,P3,-175.516668,119.317988,772.371853,-55.612300,-924.628800,432.351900,-55.327761,-922.566883,432.757267,2.120563,0.048299,D:\D435_Project\calibration_9points_user0\images\board_002.jpg,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
