timestamp,frame_index,target_id,meter_conf,display_conf,meter_cx,meter_cy,display_cx,display_cy,target_source,depth_m,camera_x_m,camera_y_m,camera_z_m,smooth_x_m,smooth_y_m,smooth_z_m,has_display
1787399902.2153323,1,1,0.928450,0.909559,737,263,737,210,meter,0.821500,0.059951,-0.098824,0.821500,0.059951,-0.098824,0.821500,1
1787399902.2153323,1,2,0.936009,0.904619,736,557,742,499,meter,0.793000,0.076311,0.191499,0.793000,0.076311,0.191499,0.793000,1
1787399902.2153323,1,3,0.939149,0.942502,900,561,900,497,meter,0.808000,0.224489,0.199605,0.808000,0.224489,0.199605,0.808000,1
1787399902.4469573,2,1,0.929675,0.917613,737,262,737,210,meter,0.820500,0.059878,-0.099614,0.820500,0.059914,-0.099219,0.821000,1
1787399902.4469573,2,2,0.934987,0.896984,735,556,743,499,meter,0.795000,0.075623,0.191100,0.795000,0.075967,0.191299,0.794000,1
1787399902.4469573,2,3,0.944818,0.950102,900,556,900,497,meter,0.810000,0.225045,0.195604,0.810000,0.224767,0.197604,0.809000,1
1787399902.643017,3,1,0.931236,0.922357,739,263,737,210,meter,0.820500,0.061695,-0.098704,0.820500,0.059951,-0.098824,0.820500,1
1787399902.643017,3,2,0.934557,0.908219,735,553,742,499,meter,0.798000,0.075909,0.188278,0.798000,0.075909,0.191100,0.795000,1
1787399902.643017,3,3,0.944236,0.945760,899,558,900,497,meter,0.807000,0.223318,0.196671,0.807000,0.224489,0.196671,0.808000,1
1787399902.8684728,4,1,0.932971,0.922207,737,262,737,210,meter,0.818000,0.059695,-0.099311,0.818000,0.059914,-0.099067,0.820500,1
1787399902.8684728,4,2,0.934540,0.901844,735,554,742,499,meter,0.792000,0.075338,0.187742,0.792000,0.075766,0.189689,0.794000,1
1787399902.8684728,4,3,0.943887,0.950266,899,557,900,497,meter,0.807000,0.223318,0.195775,0.807000,0.223903,0.196223,0.807500,1
1787399903.0486782,5,1,0.933152,0.931863,736,262,737,210,meter,0.822000,0.059987,-0.099796,0.822000,0.059951,-0.099311,0.820500,1
1787399903.0486782,5,2,0.939144,0.909068,735,551,742,499,meter,0.798000,0.075909,0.186507,0.798000,0.075909,0.188278,0.795000,1
1787399903.0486782,5,3,0.939822,0.951813,900,555,900,497,meter,0.808000,0.224489,0.193328,0.808000,0.224489,0.195775,0.808000,1
1787399903.240428,6,1,0.929583,0.925097,737,261,737,210,meter,0.820500,0.060786,-0.100525,0.820500,0.059969,-0.099463,0.820500,1
