epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.993,1.29954,2.713,1.24527,0.92712,0.32893,0.42168,0.28399,1.10912,2.58454,1.1926,0.000539324,0.000539324,0.000539324
2,225.075,1.13125,1.499,1.11477,0.88454,0.42483,0.67779,0.47194,1.16671,2.22406,1.18367,0.00108415,0.00108415,0.00108415
3,338.357,1.1309,1.32353,1.08506,0.78497,0.71382,0.92294,0.61111,1.09177,1.70154,1.09685,0.00161797,0.00161797,0.00161797
4,463.476,1.17035,1.23052,1.08653,0.94829,0.89781,0.96545,0.64564,1.10047,1.28475,1.08219,0.00161749,0.00161749,0.00161749
5,585.138,1.12273,1.15053,1.07788,0.94085,0.92344,0.97227,0.681,1.05895,1.04218,1.09335,0.00160099,0.00160099,0.00160099
6,693.23,1.05367,1.05664,1.07097,0.94343,0.98742,0.98988,0.70254,1.00475,1.005,1.07467,0.00158448,0.00158448,0.00158448
7,800.266,1.08892,0.99842,1.07879,0.98054,0.9949,0.99141,0.72002,0.97062,0.90234,1.05233,0.00156798,0.00156798,0.00156798
8,908.769,1.08076,0.92365,1.05042,0.91323,0.98774,0.96983,0.70549,0.99359,0.97727,1.08346,0.00155148,0.00155148,0.00155148
9,1015.08,1.04047,0.93697,1.04232,0.95242,0.97878,0.98121,0.69078,1.01015,0.93686,1.06483,0.00153497,0.00153497,0.00153497
10,1128.17,1.04949,0.90453,1.05213,0.93691,1,0.9848,0.70204,1.01309,0.87996,1.08516,0.00151847,0.00151847,0.00151847
11,1237.29,1.00502,0.84819,1.05117,0.95356,0.99614,0.9865,0.69637,1.04315,0.85163,1.104,0.00150197,0.00150197,0.00150197
12,1344.01,1.01278,0.86545,1.06115,0.97829,0.99262,0.98917,0.70723,0.98458,0.80788,1.07224,0.00148546,0.00148546,0.00148546
13,1449.31,1.0094,0.8129,1.03192,0.97576,0.9911,0.98827,0.72911,0.96818,0.77767,1.05472,0.00146896,0.00146896,0.00146896
14,1553.54,0.984,0.79214,1.02765,0.95547,0.9962,0.99053,0.71715,0.98989,0.77221,1.07623,0.00145246,0.00145246,0.00145246
15,1659.54,1.02485,0.78382,1.03807,0.968,0.99422,0.99381,0.73284,0.95554,0.74644,1.0592,0.00143595,0.00143595,0.00143595
16,1764.05,0.97823,0.7633,1.02098,0.98376,0.99848,0.99359,0.72548,0.99696,0.73192,1.05735,0.00141945,0.00141945,0.00141945
17,1870.23,0.96979,0.72516,1.02289,0.98437,0.99514,0.99205,0.73799,0.9301,0.7051,1.02074,0.00140295,0.00140295,0.00140295
18,1975.83,0.96948,0.71813,1.01714,0.97245,0.99609,0.98848,0.72493,0.92383,0.6958,1.02722,0.00138644,0.00138644,0.00138644
19,2080.3,0.99283,0.7284,1.02719,0.95882,0.98394,0.98107,0.71839,0.91609,0.68779,1.03064,0.00136994,0.00136994,0.00136994
20,2192.42,0.9232,0.70209,1.00957,0.97001,0.99349,0.98331,0.72279,0.94057,0.70089,1.03837,0.00135344,0.00135344,0.00135344
21,2307.12,0.96394,0.68731,1.02763,0.95614,0.99708,0.98246,0.7167,0.93351,0.70519,1.02574,0.00133693,0.00133693,0.00133693
22,2418.05,0.92509,0.68804,1.01518,0.97098,0.99083,0.98734,0.72567,0.94734,0.66109,1.04439,0.00132043,0.00132043,0.00132043
23,2525.78,0.94591,0.66993,1.005,0.97325,0.99244,0.98447,0.71607,0.96442,0.65303,1.05842,0.00130393,0.00130393,0.00130393
24,2632.28,0.93195,0.65987,1.0068,0.97181,0.99389,0.98748,0.73233,0.95292,0.63972,1.0402,0.00128742,0.00128742,0.00128742
25,2740.95,0.90558,0.62883,1.00734,0.97115,1,0.98541,0.74251,0.9142,0.617,1.02366,0.00127092,0.00127092,0.00127092
26,2852.1,0.96861,0.65283,1.02334,0.96107,1,0.98795,0.74621,0.8941,0.60997,1.01864,0.00125442,0.00125442,0.00125442
27,2962.26,0.94804,0.64268,1.01737,0.9673,1,0.99141,0.72603,0.94667,0.61264,1.02773,0.00123791,0.00123791,0.00123791
28,3074.69,0.9434,0.61303,1.00144,0.96881,1,0.98801,0.75032,0.8945,0.6009,1.00859,0.00122141,0.00122141,0.00122141
29,3182.4,0.92019,0.60625,0.991,0.9689,1,0.9902,0.74815,0.90712,0.59272,1.02459,0.00120491,0.00120491,0.00120491
30,3289.02,0.91954,0.62586,1.01341,0.96492,0.99528,0.98957,0.74481,0.9152,0.58091,1.02377,0.0011884,0.0011884,0.0011884
31,3398.86,0.86896,0.57909,0.98646,0.9724,1,0.98861,0.76241,0.87873,0.55643,1.00234,0.0011719,0.0011719,0.0011719
32,3506.73,0.91,0.58567,0.99669,0.97369,0.99915,0.99047,0.75805,0.89111,0.55457,1.00282,0.0011554,0.0011554,0.0011554
33,3616.09,0.90496,0.59,0.9903,0.97357,0.99898,0.99039,0.75674,0.87381,0.54315,1.00255,0.00113889,0.00113889,0.00113889
34,3727.68,0.87487,0.57094,0.99807,0.97258,0.99398,0.98855,0.7479,0.88562,0.53357,1.01253,0.00112239,0.00112239,0.00112239
35,3835.56,0.88846,0.56374,0.98971,0.97194,0.99839,0.9892,0.74483,0.89413,0.53011,1.0121,0.00110589,0.00110589,0.00110589
36,3941.61,0.86492,0.54719,0.99538,0.97167,0.99943,0.98998,0.74766,0.88212,0.52863,1.00702,0.00108938,0.00108938,0.00108938
37,4047.48,0.88757,0.5545,0.97326,0.9717,0.99317,0.98862,0.74474,0.88923,0.53241,1.01167,0.00107288,0.00107288,0.00107288
38,4164.18,0.86446,0.56928,0.99736,0.98247,0.99528,0.98915,0.74584,0.9173,0.52757,1.02338,0.00105638,0.00105638,0.00105638
39,4272.71,0.89107,0.55575,1.00264,0.97135,0.99057,0.98995,0.73631,0.92026,0.53292,1.01497,0.00103987,0.00103987,0.00103987
40,4382.48,0.83714,0.53071,0.98857,0.96293,0.98346,0.98756,0.74419,0.90773,0.52562,1.015,0.00102337,0.00102337,0.00102337
41,4488.08,0.87206,0.5435,0.99069,0.96837,1,0.98684,0.74246,0.89982,0.52737,1.01195,0.00100687,0.00100687,0.00100687
42,4597.32,0.85234,0.53659,0.96901,0.9716,1,0.98863,0.74395,0.90007,0.52385,1.00989,0.000990365,0.000990365,0.000990365
43,4704.65,0.89186,0.53611,0.99252,0.96687,0.99528,0.9881,0.74632,0.87462,0.52393,1.00403,0.000973861,0.000973861,0.000973861
44,4813.45,0.86576,0.53817,0.99452,0.98303,0.98858,0.99244,0.73405,0.90288,0.52676,1.01504,0.000957358,0.000957358,0.000957358
45,4919.56,0.86921,0.53782,0.97257,0.98542,0.98537,0.99195,0.75141,0.90296,0.50642,1.01509,0.000940855,0.000940855,0.000940855
46,5027.31,0.86267,0.53083,0.97945,0.97209,0.9945,0.99053,0.76135,0.87622,0.4943,0.99626,0.000924352,0.000924352,0.000924352
47,5132.18,0.84281,0.50163,0.96849,0.97582,0.99623,0.99227,0.76164,0.8703,0.48839,0.99696,0.000907848,0.000907848,0.000907848
48,5235.17,0.86975,0.51889,0.98598,0.97175,0.99686,0.99226,0.74594,0.89331,0.48594,1.00544,0.000891345,0.000891345,0.000891345
49,5340.1,0.84857,0.51106,0.98167,0.97277,1,0.98742,0.75253,0.8778,0.48179,0.9961,0.000874842,0.000874842,0.000874842
50,5445.62,0.79679,0.48946,0.95597,0.97312,0.99146,0.98901,0.74593,0.88271,0.473,0.99576,0.000858338,0.000858338,0.000858338
51,5551.99,0.80956,0.48208,0.97065,0.9749,0.99172,0.98962,0.74194,0.90503,0.48138,1.00496,0.000841835,0.000841835,0.000841835
52,5657.87,0.83201,0.48954,0.96428,0.97401,1,0.98839,0.75803,0.89208,0.46953,1.00771,0.000825332,0.000825332,0.000825332
53,5763.79,0.8186,0.47425,0.96002,0.98015,0.99441,0.98794,0.75788,0.87781,0.46259,0.99947,0.000808828,0.000808828,0.000808828
54,5868.66,0.80312,0.46746,0.94685,0.98075,0.99182,0.98994,0.76196,0.86485,0.45727,0.98974,0.000792325,0.000792325,0.000792325
55,5976.01,0.80483,0.4785,0.95781,0.98139,0.9949,0.99011,0.75527,0.88514,0.46192,0.99724,0.000775822,0.000775822,0.000775822
56,6081.53,0.79248,0.47178,0.95066,0.97585,0.99819,0.9889,0.75181,0.87718,0.4573,0.99182,0.000759318,0.000759318,0.000759318
57,6183.96,0.79516,0.46811,0.95784,0.97247,0.99906,0.9887,0.75636,0.86998,0.44799,0.99422,0.000742815,0.000742815,0.000742815
58,6290.64,0.78091,0.45455,0.9631,0.97866,0.99528,0.98924,0.76401,0.87477,0.45387,0.99614,0.000726312,0.000726312,0.000726312
59,6395.7,0.83257,0.48023,0.98122,0.97972,0.99597,0.99161,0.74841,0.89348,0.46076,1.00236,0.000709809,0.000709809,0.000709809
60,6498.37,0.78359,0.46589,0.94718,0.97703,0.99644,0.99028,0.75944,0.87796,0.45386,0.99447,0.000693305,0.000693305,0.000693305
61,6606.11,0.79992,0.46178,0.96054,0.97482,0.99999,0.99132,0.76648,0.85872,0.44603,0.9879,0.000676802,0.000676802,0.000676802
62,6713.7,0.77784,0.45171,0.94925,0.9752,0.99955,0.9886,0.75677,0.86574,0.44834,0.9888,0.000660299,0.000660299,0.000660299
63,6820.74,0.7833,0.44765,0.95148,0.97544,0.9994,0.9901,0.76515,0.87512,0.43976,0.99403,0.000643795,0.000643795,0.000643795
64,6925.79,0.77195,0.44202,0.94095,0.9862,0.9949,0.99196,0.76262,0.8736,0.44111,0.99523,0.000627292,0.000627292,0.000627292
65,7032.23,0.78756,0.44356,0.95258,0.98985,0.99479,0.99146,0.757,0.88343,0.44218,0.99973,0.000610789,0.000610789,0.000610789
