pair_id,board_id,point_id,timestamp,image_path,debug_path,camera_x_mm,camera_y_mm,camera_z_mm,robot_x_mm,robot_y_mm,robot_z_mm,robot_rx_deg,robot_ry_deg,robot_rz_deg,reprojection_error_px,user_frame,tool_frame,note
1,001,P1,1787296678.670107,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg,164.902509,36.684493,783.317879,-293.585600,-677.687300,513.210000,-103.361600,51.154500,121.922700,0.061934,User 0,Tool 2,"manual needle touch, 3x3 inner corners"
2,001,P2,1787297042.089948,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg,139.977963,37.333333,781.488662,-274.961600,-695.125700,512.871200,-103.361600,51.154500,121.922700,0.061934,User 0,Tool 2,"manual needle touch, 3x3 inner corners"
3,001,P3,1787297236.019549,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg,115.053417,37.982174,779.659445,-257.052600,-712.387800,512.330300,-103.361600,51.154500,121.922700,0.061934,User 0,Tool 2,"manual needle touch, 3x3 inner corners"
4,001,P4,1787297383.733067,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg,164.138822,11.744872,784.877395,-293.839300,-679.453700,538.220200,-103.361600,51.154500,121.922700,0.061934,User 0,Tool 2,"manual needle touch, 3x3 inner corners"
5,001,P5,1787297544.294993,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg,139.214277,12.393712,783.048178,-275.551800,-695.353100,538.034400,-103.361600,51.154500,121.922700,0.061934,User 0,Tool 2,"manual needle touch, 3x3 inner corners"
6,001,P6,1787297756.353972,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg,114.289731,13.042553,781.218961,-257.703400,-713.930800,537.241100,-103.361600,51.154500,121.922700,0.061934,User 0,Tool 2,"manual needle touch, 3x3 inner corners"
7,001,P7,1787298072.366585,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg,163.375136,-13.194749,786.436912,-294.124100,-679.590600,563.335300,-103.361600,51.154500,121.922700,0.061934,User 0,Tool 2,"manual needle touch, 3x3 inner corners"
8,001,P8,1787298246.750490,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg,138.450590,-12.545909,784.607695,-275.802900,-697.601800,562.874800,-103.361600,51.154500,121.922700,0.061934,User 0,Tool 2,"manual needle touch, 3x3 inner corners"
9,001,P9,1787298519.802711,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg,113.526045,-11.897068,782.778478,-257.610800,-714.414400,562.324700,-103.361600,51.154500,121.922700,0.061934,User 0,Tool 2,"manual needle touch, 3x3 inner corners"
10,002,P1,1787299491.769114,D:\D435_Project\calibration_9points_user0\images\board_002.jpg,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg,-125.656681,120.235328,775.996781,-91.244800,-890.177400,431.110000,-99.170700,50.667200,135.340700,0.048299,User 0,Tool 2,"manual needle touch, 3x3 inner corners"
11,002,P2,1787299629.419001,D:\D435_Project\calibration_9points_user0\images\board_002.jpg,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg,-150.586674,119.776658,774.184317,-73.242300,-906.840800,432.006100,-99.170700,50.667200,135.340700,0.048299,User 0,Tool 2,"manual needle touch, 3x3 inner corners"
12,002,P3,1787299826.759219,D:\D435_Project\calibration_9points_user0\images\board_002.jpg,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg,-175.516668,119.317988,772.371853,-55.612300,-924.628800,432.351900,-100.047300,49.408100,137.894600,0.048299,User 0,Tool 2,"manual needle touch, 3x3 inner corners"
13,002,P4,1787299962.995492,D:\D435_Project\calibration_9points_user0\images\board_002.jpg,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg,-125.463878,95.497836,779.605011,-93.264100,-890.954700,456.052600,-99.571200,49.191600,135.947700,0.048299,User 0,Tool 2,"manual needle touch, 3x3 inner corners"
