pair_id,board_id,point_id,camera_x_mm,camera_y_mm,camera_z_mm,robot_x_mm,robot_y_mm,robot_z_mm,pred_robot_x_mm,pred_robot_y_mm,pred_robot_z_mm,error_mm,reprojection_error_px,image_path,debug_path
1,001,P1,164.902509,36.684493,783.317879,-293.585600,-677.687300,513.210000,-295.554819,-680.035289,513.545355,3.082748,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
2,001,P2,139.977963,37.333333,781.488662,-274.961600,-695.125700,512.871200,-276.997015,-696.775057,512.922394,2.620289,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
3,001,P3,115.053417,37.982174,779.659445,-257.052600,-712.387800,512.330300,-258.439211,-713.514825,512.299431,1.787128,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
4,001,P4,164.138822,11.744872,784.877395,-293.839300,-679.453700,538.220200,-295.178343,-680.547988,538.537262,1.758133,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
5,001,P5,139.214277,12.393712,783.048178,-275.551800,-695.353100,538.034400,-276.620540,-697.287755,537.914301,2.213486,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
6,001,P6,114.289731,13.042553,781.218961,-257.703400,-713.930800,537.241100,-258.062735,-714.027524,537.291338,0.375501,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
7,001,P7,163.375136,-13.194749,786.436912,-294.124100,-679.590600,563.335300,-294.801869,-681.060687,563.529169,1.630372,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
8,001,P8,138.450590,-12.545909,784.607695,-275.802900,-697.601800,562.874800,-276.244065,-697.800455,562.906208,0.484847,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
9,001,P9,113.526045,-11.897068,782.778478,-257.610800,-714.414400,562.324700,-257.686261,-714.540223,562.283245,0.152461,0.061934,D:\D435_Project\calibration_9points_user0\images\board_001.jpg,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
10,002,P1,-125.656681,120.235328,775.996781,-91.244800,-890.177400,431.110000,-92.257765,-888.260963,431.257083,2.172663,0.048299,D:\D435_Project\calibration_9points_user0\images\board_002.jpg,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
11,002,P2,-150.586674,119.776658,774.184317,-73.242300,-906.840800,432.006100,-73.665152,-904.966675,431.740701,1.939480,0.048299,D:\D435_Project\calibration_9points_user0\images\board_002.jpg,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
12,002,P3,-175.516668,119.317988,772.371853,-55.612300,-924.628800,432.351900,-55.072539,-921.672388,432.224318,3.007988,0.048299,D:\D435_Project\calibration_9points_user0\images\board_002.jpg,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
13,002,P4,-125.463878,95.497836,779.605011,-93.264100,-890.954700,456.052600,-94.027129,-889.509163,456.163134,1.638294,0.048299,D:\D435_Project\calibration_9points_user0\images\board_002.jpg,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
