rank,pair_id,board_id,point_id,error_mm,reprojection_error_px,debug_path
1,35,004,P8,4.392207,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
2,36,004,P9,3.990092,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
3,34,004,P7,3.111698,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
4,1,001,P1,3.082748,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
5,12,002,P3,3.007988,0.048299,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
6,15,002,P6,2.764869,0.048299,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
7,2,001,P2,2.620289,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
8,14,002,P5,2.485411,0.048299,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
9,32,004,P5,2.472601,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
10,31,004,P4,2.273412,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
11,5,001,P5,2.213486,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
12,10,002,P1,2.172663,0.048299,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
13,11,002,P2,1.939480,0.048299,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
14,18,002,P9,1.893083,0.048299,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
15,3,001,P3,1.787128,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
16,4,001,P4,1.758133,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
17,23,003,P5,1.749712,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
18,13,002,P4,1.638294,0.048299,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
19,7,001,P7,1.630372,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
20,21,003,P3,1.540299,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
21,33,004,P6,1.482940,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
22,24,003,P6,1.477906,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
23,17,002,P8,1.458344,0.048299,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
24,25,003,P7,1.355093,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
25,20,003,P2,1.313917,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
26,19,003,P1,1.256753,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
27,26,003,P8,1.137077,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
28,22,003,P4,1.034418,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
29,30,004,P3,0.744757,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
30,29,004,P2,0.653466,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
31,28,004,P1,0.600333,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
32,8,001,P8,0.484847,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
33,27,003,P9,0.438621,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
34,6,001,P6,0.375501,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
35,9,001,P9,0.152461,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
