rank,pair_id,board_id,point_id,error_mm,reprojection_error_px,debug_path
1,45,005,P9,6.037926,0.064342,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
2,1,001,P1,5.150397,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
3,42,005,P6,5.110224,0.064342,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
4,5,001,P5,4.831749,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
5,7,001,P7,4.751000,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
6,2,001,P2,4.673600,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
7,44,005,P8,4.472602,0.064342,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
8,4,001,P4,4.335850,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
9,43,005,P7,4.292498,0.064342,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
10,36,004,P9,4.255207,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
11,41,005,P5,4.172688,0.064342,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
12,35,004,P8,4.141959,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
13,40,005,P4,3.900077,0.064342,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
14,3,001,P3,3.878271,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
15,39,005,P3,3.637640,0.064342,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
16,8,001,P8,3.627421,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
17,9,001,P9,3.362476,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
18,6,001,P6,2.986964,0.061934,D:\D435_Project\calibration_9points_user0\debug\board_001_points.jpg
19,38,005,P2,2.833115,0.064342,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
20,37,005,P1,2.642107,0.064342,D:\D435_Project\calibration_9points_user0\debug\board_005_points.jpg
21,32,004,P5,2.614656,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
22,17,002,P8,2.491197,0.048299,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
23,34,004,P7,2.458443,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
24,12,002,P3,2.120563,0.048299,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
25,33,004,P6,1.823753,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
26,10,002,P1,1.723454,0.048299,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
27,31,004,P4,1.571447,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
28,28,004,P1,1.542082,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
29,20,003,P2,1.505126,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
30,13,002,P4,1.460034,0.048299,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
31,14,002,P5,1.404260,0.048299,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
32,21,003,P3,1.383349,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
33,23,003,P5,1.372695,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
34,15,002,P6,1.328153,0.048299,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
35,19,003,P1,1.234109,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
36,11,002,P2,1.222995,0.048299,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
37,25,003,P7,1.178984,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
38,27,003,P9,1.156189,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
39,18,002,P9,1.133359,0.048299,D:\D435_Project\calibration_9points_user0\debug\board_002_points.jpg
40,22,003,P4,1.087501,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
41,29,004,P2,1.045914,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
42,26,003,P8,1.037826,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
43,24,003,P6,1.037320,0.055563,D:\D435_Project\calibration_9points_user0\debug\board_003_points.jpg
44,30,004,P3,0.991105,0.082235,D:\D435_Project\calibration_9points_user0\debug\board_004_points.jpg
