sample_id,timestamp,image_path,depth_path,debug_path,robot_x_mm,robot_y_mm,robot_z_mm,robot_rx_deg,robot_ry_deg,robot_rz_deg
001,1786526011.646531,D:\D435_Project\calibration\images\sample_001.jpg,D:\D435_Project\calibration\depth\sample_001_depth.npy,D:\D435_Project\calibration\debug\sample_001_corners.jpg,126.288000,60.906400,58.289600,27.625600,-73.523100,164.742700
002,1786526329.731895,D:\D435_Project\calibration\images\sample_002.jpg,D:\D435_Project\calibration\depth\sample_002_depth.npy,D:\D435_Project\calibration\debug\sample_002_corners.jpg,210.327000,28.893500,202.061000,42.976400,-73.357100,160.513100
003,1786526483.292756,D:\D435_Project\calibration\images\sample_003.jpg,D:\D435_Project\calibration\depth\sample_003_depth.npy,D:\D435_Project\calibration\debug\sample_003_corners.jpg,17.221500,170.496100,186.545000,22.727900,-71.800800,172.721000
004,1786526696.640099,D:\D435_Project\calibration\images\sample_004.jpg,D:\D435_Project\calibration\depth\sample_004_depth.npy,D:\D435_Project\calibration\debug\sample_004_corners.jpg,211.375900,-40.064200,-14.598200,24.371300,-72.629500,168.281400
005,1786526888.455389,D:\D435_Project\calibration\images\sample_005.jpg,D:\D435_Project\calibration\depth\sample_005_depth.npy,D:\D435_Project\calibration\debug\sample_005_corners.jpg,199.578600,133.172500,-13.862400,23.115700,-71.848700,173.007400
006,1786527059.261585,D:\D435_Project\calibration\images\sample_006.jpg,D:\D435_Project\calibration\depth\sample_006_depth.npy,D:\D435_Project\calibration\debug\sample_006_corners.jpg,231.910800,31.625100,119.330600,30.689700,-72.835500,166.671900
007,1786527348.386953,D:\D435_Project\calibration\images\sample_007.jpg,D:\D435_Project\calibration\depth\sample_007_depth.npy,D:\D435_Project\calibration\debug\sample_007_corners.jpg,153.878700,196.799500,87.667700,19.865200,-71.068600,175.168900
008,1786527559.481143,D:\D435_Project\calibration\images\sample_008.jpg,D:\D435_Project\calibration\depth\sample_008_depth.npy,D:\D435_Project\calibration\debug\sample_008_corners.jpg,157.531600,66.072200,172.927800,35.603700,-73.418300,163.799200
009,1786527894.646431,D:\D435_Project\calibration\images\sample_009.jpg,D:\D435_Project\calibration\depth\sample_009_depth.npy,D:\D435_Project\calibration\debug\sample_009_corners.jpg,258.018000,56.678200,-27.394700,18.620300,-72.111700,171.958800
010,1786528149.067871,D:\D435_Project\calibration\images\sample_010.jpg,D:\D435_Project\calibration\depth\sample_010_depth.npy,D:\D435_Project\calibration\debug\sample_010_corners.jpg,409.337000,100.070000,165.695500,35.216600,-72.771500,159.419400
011,1786528319.830761,D:\D435_Project\calibration\images\sample_011.jpg,D:\D435_Project\calibration\depth\sample_011_depth.npy,D:\D435_Project\calibration\debug\sample_011_corners.jpg,131.064200,38.016700,1.899900,24.341200,-72.795000,168.553200
012,1786528415.309803,D:\D435_Project\calibration\images\sample_012.jpg,D:\D435_Project\calibration\depth\sample_012_depth.npy,D:\D435_Project\calibration\debug\sample_012_corners.jpg,205.347800,-71.870100,62.362700,-6.717100,-48.781200,-143.288500
013,1786528553.005466,D:\D435_Project\calibration\images\sample_013.jpg,D:\D435_Project\calibration\depth\sample_013_depth.npy,D:\D435_Project\calibration\debug\sample_013_corners.jpg,95.594300,223.748600,30.129900,100.604900,-64.957400,41.875100
014,1786528703.408689,D:\D435_Project\calibration\images\sample_014.jpg,D:\D435_Project\calibration\depth\sample_014_depth.npy,D:\D435_Project\calibration\debug\sample_014_corners.jpg,4.454500,56.219400,161.106100,-10.865000,-42.640300,-153.884200
015,1786528903.071518,D:\D435_Project\calibration\images\sample_015.jpg,D:\D435_Project\calibration\depth\sample_015_depth.npy,D:\D435_Project\calibration\debug\sample_015_corners.jpg,145.548800,48.435500,-37.114800,-27.387200,-30.017600,-147.016300
016,1786528992.714443,D:\D435_Project\calibration\images\sample_016.jpg,D:\D435_Project\calibration\depth\sample_016_depth.npy,D:\D435_Project\calibration\debug\sample_016_corners.jpg,183.647100,161.086000,18.406700,112.855900,-47.669100,48.670600
017,1786529394.610426,D:\D435_Project\calibration\images\sample_017.jpg,D:\D435_Project\calibration\depth\sample_017_depth.npy,D:\D435_Project\calibration\debug\sample_017_corners.jpg,212.123300,95.168200,25.247600,101.413000,-59.537900,64.401300
018,1786529540.452181,D:\D435_Project\calibration\images\sample_018.jpg,D:\D435_Project\calibration\depth\sample_018_depth.npy,D:\D435_Project\calibration\debug\sample_018_corners.jpg,244.478800,-75.183800,139.609300,26.776300,-65.409900,143.494700
019,1786529746.813804,D:\D435_Project\calibration\images\sample_019.jpg,D:\D435_Project\calibration\depth\sample_019_depth.npy,D:\D435_Project\calibration\debug\sample_019_corners.jpg,129.020900,254.093100,-70.052100,-36.593300,-30.817100,-132.958700
020,1786530115.228416,D:\D435_Project\calibration\images\sample_020.jpg,D:\D435_Project\calibration\depth\sample_020_depth.npy,D:\D435_Project\calibration\debug\sample_020_corners.jpg,160.606400,71.176800,36.543200,-9.183100,-31.581900,-152.561300
