sample_id,camera_x_mm,camera_y_mm,camera_z_mm,robot_x_mm,robot_y_mm,robot_z_mm,pred_robot_x_mm,pred_robot_y_mm,pred_robot_z_mm,error_mm,reprojection_error_px
001,89.358037,-12.785793,675.313322,126.288000,60.906400,58.289600,123.240321,58.932742,57.917981,3.649901,0.059789
002,16.049321,-98.074936,543.220581,210.327000,28.893500,202.061000,212.557160,30.972014,203.991929,3.608645,0.110774
003,199.771078,-179.090413,667.218637,17.221500,170.496100,186.545000,21.685911,169.058797,190.102490,5.886641,0.071910
004,-16.012228,94.318661,664.612600,211.375900,-40.064200,-14.598200,210.981615,-39.720039,-14.593095,0.523386,0.037878
005,152.479057,83.271109,618.674482,199.578600,133.172500,-13.862400,200.019712,134.890521,-11.034834,3.337859,0.073795
006,27.148829,-15.769551,566.372820,231.910800,31.625100,119.330600,229.506996,33.170187,119.485878,2.861762,0.069065
007,207.678739,-29.129667,590.001644,153.878700,196.799500,87.667700,155.938350,197.946925,91.842736,4.794755,0.075782
008,70.211846,-98.495912,588.655456,157.531600,66.072200,172.927800,160.037636,68.597491,175.284660,4.267563,0.089389
009,68.299980,125.053991,600.762508,258.018000,56.678200,-27.394700,257.073414,59.622830,-26.279990,3.287198,0.075650
010,41.146744,26.389226,374.024743,409.337000,100.070000,165.695500,407.270523,104.810440,166.802781,5.288494,0.059597
011,76.987189,39.935775,703.394923,131.064200,38.016700,1.899900,128.096571,37.738120,0.923396,3.136557,0.049636
012,-61.011773,25.412975,649.771652,205.347800,-71.870100,62.362700,202.352519,-76.936078,59.795825,6.420645,0.050486
013,257.872894,-2.576690,649.473902,95.594300,223.748600,30.129900,105.560636,227.076719,33.747949,11.112808,0.059831
014,96.425414,-160.090005,739.061508,4.454500,56.219400,161.106100,-2.378236,48.384892,157.522354,10.995865,0.056337
015,84.140051,83.864471,716.055007,145.548800,48.435500,-37.114800,136.566533,39.987856,-44.511941,14.379204,0.049732
016,180.198462,54.395119,592.692549,183.647100,161.086000,18.406700,200.754830,169.681746,21.619098,19.413418,0.091512
017,111.141637,60.429403,594.945662,212.123300,95.168200,25.247600,219.867355,103.174990,26.298515,11.188543,0.068027
018,-78.457268,-25.512877,576.879972,244.478800,-75.183800,139.609300,243.758805,-70.408790,140.131986,4.857192,0.040760
019,287.201551,101.336480,676.027806,129.020900,254.093100,-70.052100,125.185977,245.248346,-74.177325,10.485886,0.093826
020,91.147782,24.163667,664.734675,160.606400,71.176800,36.543200,149.276574,63.309991,29.930007,15.296599,0.042180
