sample_id,timestamp,image_path,depth_path,debug_path,robot_x_mm,robot_y_mm,robot_z_mm,robot_rx_deg,robot_ry_deg,robot_rz_deg
001,1787128198.302434,D:\D435_Project\calibration_new\images\sample_001.jpg,D:\D435_Project\calibration_new\depth\sample_001_depth.npy,D:\D435_Project\calibration_new\debug\sample_001_corners.jpg,126.336200,199.905700,49.565900,-66.892500,-2.850800,-93.930500
002,1787128328.611284,D:\D435_Project\calibration_new\images\sample_002.jpg,D:\D435_Project\calibration_new\depth\sample_002_depth.npy,D:\D435_Project\calibration_new\debug\sample_002_corners.jpg,173.849400,177.329800,159.769200,-71.095200,-7.994500,-86.263600
003,1787128416.100272,D:\D435_Project\calibration_new\images\sample_003.jpg,D:\D435_Project\calibration_new\depth\sample_003_depth.npy,D:\D435_Project\calibration_new\debug\sample_003_corners.jpg,56.846300,283.611300,118.381100,-70.791200,-5.065900,-95.430400
004,1787128536.380749,D:\D435_Project\calibration_new\images\sample_004.jpg,D:\D435_Project\calibration_new\depth\sample_004_depth.npy,D:\D435_Project\calibration_new\debug\sample_004_corners.jpg,193.651500,148.841000,4.171600,-65.276600,-0.403200,-94.649800
005,1787128937.649448,D:\D435_Project\calibration_new\images\sample_005.jpg,D:\D435_Project\calibration_new\depth\sample_005_depth.npy,D:\D435_Project\calibration_new\debug\sample_005_corners.jpg,205.056200,232.395700,19.015900,-62.337600,3.900400,-100.546900
006,1787129116.966484,D:\D435_Project\calibration_new\images\sample_006.jpg,D:\D435_Project\calibration_new\depth\sample_006_depth.npy,D:\D435_Project\calibration_new\debug\sample_006_corners.jpg,184.603000,208.060700,171.052600,-71.713800,-6.001800,-95.356200
007,1787129269.710187,D:\D435_Project\calibration_new\images\sample_007.jpg,D:\D435_Project\calibration_new\depth\sample_007_depth.npy,D:\D435_Project\calibration_new\debug\sample_007_corners.jpg,214.528700,166.116000,1.559100,-65.822600,2.275500,-101.848200
009,1787129774.840207,D:\D435_Project\calibration_new\images\sample_009.jpg,D:\D435_Project\calibration_new\depth\sample_009_depth.npy,D:\D435_Project\calibration_new\debug\sample_009_corners.jpg,114.245300,304.827500,80.579100,-64.890800,1.936500,-104.776500
013,1787130497.104581,D:\D435_Project\calibration_new\images\sample_013.jpg,D:\D435_Project\calibration_new\depth\sample_013_depth.npy,D:\D435_Project\calibration_new\debug\sample_013_corners.jpg,376.827400,200.316700,135.221000,-68.509200,-2.673900,-94.059800
014,1787130680.453243,D:\D435_Project\calibration_new\images\sample_014.jpg,D:\D435_Project\calibration_new\depth\sample_014_depth.npy,D:\D435_Project\calibration_new\debug\sample_014_corners.jpg,75.719800,208.987200,83.584200,-68.727800,-4.130400,-94.351300
018,1787131287.955062,D:\D435_Project\calibration_new\images\sample_018.jpg,D:\D435_Project\calibration_new\depth\sample_018_depth.npy,D:\D435_Project\calibration_new\debug\sample_018_corners.jpg,178.914800,87.786000,217.309600,-67.006800,-5.440300,-82.705000
019,1787131455.428261,D:\D435_Project\calibration_new\images\sample_019.jpg,D:\D435_Project\calibration_new\depth\sample_019_depth.npy,D:\D435_Project\calibration_new\debug\sample_019_corners.jpg,97.070300,354.097000,157.505400,-72.830200,-3.972500,-101.861100
020,1787131699.686518,D:\D435_Project\calibration_new\images\sample_020.jpg,D:\D435_Project\calibration_new\depth\sample_020_depth.npy,D:\D435_Project\calibration_new\debug\sample_020_corners.jpg,132.877700,320.640400,0.126400,-80.763000,32.189300,-88.090700
023,1787133813.932983,D:\D435_Project\calibration_new\images\sample_023.jpg,D:\D435_Project\calibration_new\depth\sample_023_depth.npy,D:\D435_Project\calibration_new\debug\sample_023_corners.jpg,214.306900,232.625400,76.807000,-82.513900,-7.720400,-91.195000
024,1787133896.585664,D:\D435_Project\calibration_new\images\sample_024.jpg,D:\D435_Project\calibration_new\depth\sample_024_depth.npy,D:\D435_Project\calibration_new\debug\sample_024_corners.jpg,30.191800,244.274600,188.338100,-66.977800,-0.775100,-82.616300
