sample_id,camera_x_mm,camera_y_mm,camera_z_mm,robot_x_mm,robot_y_mm,robot_z_mm,pred_robot_x_mm,pred_robot_y_mm,pred_robot_z_mm,error_mm,reprojection_error_px
001,121.695703,10.048187,551.100966,126.336200,199.905700,49.565900,123.058534,197.875266,48.150218,4.107300,0.061464
002,66.586763,-87.401055,482.409012,173.849400,177.329800,159.769200,172.923856,170.010318,166.425022,9.936368,0.100825
003,210.697093,-85.529972,577.283236,56.846300,283.611300,118.381100,56.604576,288.542218,119.601729,5.085500,0.088847
004,65.916248,77.338741,509.443349,193.651500,148.841000,4.171600,190.546495,145.847070,2.181040,4.750473,0.157891
005,151.894334,65.860651,469.653138,205.056200,232.395700,19.015900,209.124512,239.215172,8.851403,12.898580,0.141694
006,106.352480,-98.737181,461.635565,184.603000,208.060700,171.052600,182.183766,214.359568,175.845964,8.276761,0.093683
007,88.875465,83.485433,481.663592,214.528700,166.116000,1.559100,214.159825,173.591408,-0.866056,7.867603,0.183746
009,239.086188,-25.488888,525.227522,114.245300,304.827500,80.579100,116.285510,321.180029,69.665478,19.765495,0.105625
013,62.699192,-4.637042,292.091712,376.827400,200.316700,135.221000,375.504147,199.504833,132.118041,3.469651,0.186051
014,132.986168,-37.498403,588.563514,75.719800,208.987200,83.584200,73.035734,205.600107,83.216464,4.337261,0.064363
018,-34.894853,-127.639074,479.764919,178.914800,87.786000,217.309600,183.898496,76.498833,221.740184,13.109822,0.094306
019,273.314831,-116.885555,513.654710,97.070300,354.097000,157.505400,96.927114,366.650011,154.616134,12.882021,0.053632
020,236.570307,44.631921,527.824540,132.877700,320.640400,0.126400,132.640528,310.702495,2.191507,10.152974,0.107058
023,126.147463,-14.515892,449.097704,214.306900,232.625400,76.807000,212.381315,227.355738,94.843047,18.888521,0.114551
024,150.362551,-147.226158,594.190733,30.191800,244.274600,188.338100,35.750891,232.881933,184.406024,13.272436,0.067643
