timestamp,frame_index,target_id,meter_conf,display_conf,meter_cx,meter_cy,display_cx,display_cy,target_source,depth_m,camera_x_m,camera_y_m,camera_z_m,smooth_x_m,smooth_y_m,smooth_z_m,has_display
1786437110.0436819,1,1,0.859997,0.650133,752,289,754,239,meter,0.852000,0.097084,-0.053326,0.852000,0.097084,-0.053326,0.852000,1
1786437110.0436819,1,2,0.895950,0.705609,899,303,900,247,meter,0.819000,0.226638,-0.035809,0.819000,0.226638,-0.035809,0.819000,1
1786437110.0436819,1,3,0.921215,0.830256,769,557,769,498,meter,0.767000,0.101837,0.182667,0.767000,0.101837,0.182667,0.767000,1
1786437110.0436819,1,4,0.919310,0.394728,935,556,930,494,meter,0.769000,0.243457,0.182290,0.769000,0.243457,0.182290,0.769000,1
1786437110.3052464,3,1,0.926497,0.911017,655,157,651,101,meter,0.830000,0.005426,-0.171693,0.830000,0.051255,-0.112509,0.841000,1
1786437110.3052464,3,2,0.898270,0.889853,806,162,799,104,meter,0.814000,0.141428,-0.162963,0.814000,0.184033,-0.099386,0.816500,1
1786437110.3052464,3,3,0.936228,0.899329,687,433,682,373,meter,0.774000,0.032486,0.078682,0.774000,0.067161,0.130674,0.770500,1
1786437110.5862663,4,1,0.918723,0.922328,665,150,662,94,meter,0.824000,0.014511,-0.175938,0.824000,0.014511,-0.171693,0.830000,1
1786437110.5862663,4,2,0.922593,0.860184,813,158,811,99,meter,0.807000,0.146467,-0.165144,0.807000,0.146467,-0.162963,0.814000,1
1786437110.5862663,4,3,0.938950,0.895139,690,430,689,369,meter,0.769000,0.034831,0.076467,0.769000,0.034831,0.078682,0.769000,1
1786437110.5862663,4,4,0.885782,0.867945,849,421,844,363,meter,0.793000,0.175538,0.069173,0.793000,0.209498,0.125731,0.781000,1
1786437111.7681482,5,1,0.907684,0.904863,670,208,668,153,meter,0.835000,0.019328,-0.125468,0.835000,0.016919,-0.148580,0.832500,1
1786437111.7681482,5,2,0.918980,0.884369,818,215,813,157,meter,0.816000,0.152618,-0.115368,0.816000,0.149542,-0.139166,0.815000,1
1786437111.7681482,5,3,0.927795,0.925175,692,484,692,421,meter,0.761000,0.036154,0.120431,0.761000,0.035492,0.099557,0.768000,1
1786437111.7681482,5,4,0.943941,0.899778,855,475,848,414,meter,0.784000,0.178754,0.117111,0.784000,0.178754,0.117111,0.784000,1
1786437111.9847884,6,1,0.904935,0.909075,718,290,715,236,meter,0.836000,0.063786,-0.049541,0.836000,0.019328,-0.125468,0.835000,1
1786437111.9847884,6,2,0.921132,0.880354,863,299,860,246,meter,0.816000,0.193279,-0.040206,0.816000,0.152618,-0.115368,0.816000,1
1786437111.9847884,6,3,0.927078,0.922647,730,572,734,508,meter,0.749000,0.067101,0.193342,0.749000,0.036154,0.120431,0.767000,1
1786437111.9847884,6,4,0.918284,0.883433,899,571,893,507,meter,0.765000,0.211695,0.196623,0.765000,0.195225,0.149700,0.776500,1
1786437112.160418,7,1,0.906678,0.921888,719,294,718,242,meter,0.837000,0.064789,-0.045885,0.837000,0.041557,-0.089397,0.835500,1
1786437112.160418,7,2,0.929093,0.910675,866,304,863,253,meter,0.817000,0.196230,-0.035722,0.817000,0.172949,-0.077787,0.816000,1
1786437112.160418,7,3,0.925958,0.943059,732,574,735,511,meter,0.751000,0.068943,0.194691,0.751000,0.051627,0.151549,0.764000,1
1786437112.160418,7,4,0.924031,0.921675,900,573,896,511,meter,0.767000,0.213098,0.198839,0.767000,0.211695,0.182290,0.769000,1
1786437112.3329504,8,1,0.927091,0.931214,723,278,724,225,meter,0.840000,0.068742,-0.061897,0.840000,0.063786,-0.061897,0.836000,1
1786437112.3329504,8,2,0.941829,0.912841,872,289,869,236,meter,0.817000,0.201658,-0.048415,0.817000,0.193279,-0.048415,0.816000,1
1786437112.3329504,8,3,0.928721,0.930655,735,557,739,496,meter,0.750000,0.071343,0.181115,0.750000,0.067101,0.181115,0.761000,1
1786437112.3329504,8,4,0.926297,0.902993,902,558,899,498,meter,0.767000,0.214797,0.185220,0.767000,0.212397,0.183755,0.768000,1
1786437112.4865198,9,1,0.913551,0.902346,731,285,731,234,meter,0.842000,0.076365,-0.055503,0.842000,0.064287,-0.058700,0.836500,1
1786437112.4865198,9,2,0.952232,0.897051,879,297,877,244,meter,0.818000,0.208246,-0.042120,0.818000,0.194755,-0.045268,0.816500,1
1786437112.4865198,9,3,0.923203,0.937473,744,566,747,504,meter,0.752000,0.079027,0.189943,0.752000,0.068022,0.181891,0.756500,1
1786437112.4865198,9,4,0.915099,0.921026,913,566,908,506,meter,0.767000,0.224139,0.192881,0.767000,0.213098,0.185220,0.767000,1
1786437112.6312735,10,1,0.924757,0.898974,740,290,738,239,meter,0.844000,0.084957,-0.050015,0.844000,0.064789,-0.055503,0.837000,1
1786437112.6312735,10,2,0.926986,0.879788,890,301,885,248,meter,0.817000,0.217943,-0.038442,0.817000,0.196230,-0.042120,0.817000,1
1786437112.6312735,10,3,0.945002,0.935204,754,571,757,508,meter,0.750000,0.087122,0.193600,0.750000,0.068943,0.182667,0.752000,1
1786437112.6312735,10,4,0.954158,0.899473,924,572,918,509,meter,0.767000,0.233482,0.197988,0.767000,0.213947,0.189051,0.767000,1
1786437112.7612822,11,1,0.900798,0.908720,750,295,752,241,meter,0.840000,0.093856,-0.046050,0.840000,0.066765,-0.054415,0.838500,1
1786437112.7612822,11,2,0.911117,0.903262,900,304,896,252,meter,0.817000,0.226990,-0.035722,0.817000,0.198944,-0.041163,0.817000,1
1786437112.7612822,11,3,0.919642,0.937556,765,573,768,512,meter,0.756000,0.097028,0.195988,0.756000,0.070143,0.186305,0.754000,1
1786437112.7612822,11,4,0.918253,0.881383,934,574,929,516,meter,0.766000,0.241659,0.199430,0.766000,0.214797,0.192881,0.767000,1
1786437112.8747916,12,1,0.907651,0.903344,748,289,748,237,meter,0.842000,0.092215,-0.050831,0.842000,0.068742,-0.053326,0.840000,1
1786437112.8747916,12,2,0.936739,0.870607,894,299,894,250,meter,0.818000,0.221833,-0.040305,0.818000,0.201658,-0.040305,0.817000,1
1786437112.8747916,12,3,0.930321,0.941591,762,569,766,507,meter,0.753000,0.094141,0.191867,0.753000,0.071343,0.189943,0.753000,1
1786437112.8747916,12,4,0.917097,0.871244,932,570,927,510,meter,0.764000,0.239336,0.194670,0.764000,0.219468,0.193776,0.767000,1
1786437112.9942994,13,1,0.903441,0.911792,753,291,752,237,meter,0.843000,0.096992,-0.049956,0.843000,0.072553,-0.052079,0.840000,1
1786437112.9942994,13,2,0.911168,0.910228,901,300,898,247,meter,0.816000,0.227615,-0.039300,0.816000,0.204952,-0.040255,0.817000,1
