timestamp,frame_index,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,depth_m,camera_x_m,camera_y_m,camera_z_m,smooth_camera_x_m,smooth_camera_y_m,smooth_camera_z_m
1786415583.0522006,5,0,meter,0.673378,538.02,0.00,846.24,111.02,692,56,0.780000,0.037056,-0.273015,0.780000,0.037056,-0.273015,0.780000
1786415584.1262991,6,0,meter,0.773340,512.96,0.00,677.93,49.32,595,25,0.733000,-0.043909,-0.281781,0.733000,-0.003426,-0.277398,0.756500
1786415584.4208345,8,0,meter,0.882033,552.64,117.91,693.68,313.89,623,216,0.797000,-0.023031,-0.137447,0.797000,-0.023031,-0.273015,0.780000
1786415584.4208345,8,1,display,0.534752,194.03,545.55,465.09,720.00,330,633,0.356000,-0.125791,0.103353,0.356000,-0.125791,0.103353,0.356000
1786415584.757052,10,0,meter,0.908798,646.62,122.28,781.27,341.43,714,232,0.792000,0.056921,-0.122522,0.792000,0.007013,-0.205231,0.786000
1786415584.757052,10,1,display,0.789050,681.61,143.53,768.03,209.93,725,177,0.846000,0.071106,-0.182513,0.846000,-0.027342,-0.039580,0.601000
1786415584.8951125,11,0,meter,0.928564,635.33,111.86,775.57,317.93,705,215,0.796000,0.049275,-0.138158,0.796000,0.037056,-0.138158,0.792000
1786415584.8951125,11,1,display,0.891453,671.25,127.26,754.11,190.17,713,159,0.000000,,,,,,
1786415585.0171287,12,0,meter,0.925179,628.74,83.55,765.85,299.93,697,192,0.786000,0.041693,-0.156485,0.786000,0.039375,-0.147322,0.789000
1786415585.0171287,12,1,display,0.871103,663.84,102.94,751.37,167.39,708,135,0.842000,0.054920,-0.220896,0.842000,0.054920,-0.182513,0.842000
1786415585.129638,13,0,meter,0.935322,636.59,109.12,769.21,314.95,703,212,0.796000,0.047512,-0.140809,0.796000,0.041693,-0.140809,0.792000
1786415585.129638,13,1,display,0.880054,670.84,121.99,757.52,189.38,714,156,0.845000,0.060730,-0.201991,0.845000,0.057825,-0.192252,0.843500
1786415585.236146,14,0,meter,0.909661,800.90,121.55,938.40,318.39,870,220,0.820000,0.200583,-0.137774,0.820000,0.047512,-0.138158,0.796000
1786415585.236146,14,1,display,0.819714,685.85,111.53,773.50,176.22,730,144,0.000000,,,,,,
1786415585.3485968,15,0,meter,0.934762,662.04,78.81,812.78,284.80,737,182,0.787000,0.076605,-0.165418,0.787000,0.049275,-0.138158,0.796000
1786415585.3485968,15,1,display,0.868765,702.60,91.60,789.67,156.54,746,124,0.000000,,,,,,
1786415585.4509804,16,0,meter,0.886745,696.40,48.30,854.65,259.98,776,154,0.760000,0.106798,-0.183359,0.760000,0.056921,-0.140809,0.792000
1786415585.4509804,16,1,display,0.687989,743.98,62.09,833.08,120.51,789,91,0.000000,,,,,,
1786415585.5544858,17,0,meter,0.917288,715.15,0.00,875.08,212.54,795,106,0.741000,0.119718,-0.218247,0.741000,0.076605,-0.156485,0.787000
1786415585.5544858,17,1,display,0.835153,768.65,0.00,859.87,72.07,814,36,0.802000,0.146447,-0.298516,0.802000,0.060730,-0.201991,0.842000
1786415585.6580045,18,0,meter,0.903649,864.40,0.00,1013.56,208.86,939,104,0.775000,0.248790,-0.229981,0.775000,0.106798,-0.165418,0.786000
1786415585.6580045,18,1,display,0.701498,924.86,0.00,1011.15,75.03,968,38,0.776500,0.274207,-0.287301,0.776500,0.065918,-0.211443,0.822000
1786415585.7631135,19,0,meter,0.921456,865.97,0.00,1008.46,190.02,937,95,0.767000,0.244523,-0.235268,0.767000,0.119718,-0.183359,0.775000
1786415585.7631135,19,1,display,0.529544,784.95,283.18,869.43,333.09,827,308,0.746000,0.146960,-0.052487,0.746000,0.071106,-0.201991,0.802000
1786415585.8736234,20,0,meter,0.886416,706.54,0.00,874.03,139.86,790,70,0.748000,0.116708,-0.250192,0.748000,0.119718,-0.218247,0.767000
1786415585.974127,21,0,meter,0.876753,701.09,0.00,878.48,89.59,790,45,0.732000,0.114212,-0.265149,0.732000,0.116708,-0.229981,0.760000
1786415586.0776339,22,0,meter,0.543617,708.75,0.00,1113.43,88.44,911,44,0.755000,0.218960,-0.274319,0.755000,0.119718,-0.235268,0.755000
1786415586.3781679,25,0,meter,0.923204,866.96,0.00,1055.47,211.36,961,106,0.718000,0.247983,-0.211473,0.718000,0.218960,-0.235268,0.748000
1786415586.3781679,25,1,display,0.758487,938.15,2.23,1037.47,73.29,988,38,0.761000,0.285587,-0.281566,0.761000,0.146447,-0.220896,0.802000
1786415586.4792163,26,0,meter,0.902371,896.52,0.00,1064.39,167.87,980,84,0.708000,0.259425,-0.225813,0.708000,0.244523,-0.235268,0.748000
1786415586.599026,27,0,meter,0.838698,877.23,0.00,1060.39,130.63,969,65,0.723000,0.256115,-0.245842,0.723000,0.244523,-0.245842,0.732000
1786415586.7059088,28,0,meter,0.899839,1025.67,0.00,1188.34,99.87,1107,50,0.721000,0.365583,-0.257164,0.721000,0.247983,-0.250192,0.723000
1786415586.807346,29,0,meter,0.890735,1009.67,0.00,1179.93,114.57,1095,57,0.729000,0.359953,-0.254355,0.729000,0.256115,-0.254355,0.723000
1786415586.9110374,30,0,meter,0.851119,844.07,0.00,1010.44,160.39,927,80,0.715000,0.220028,-0.231220,0.715000,0.256115,-0.245842,0.721000
1786415587.013412,31,0,meter,0.924738,841.19,12.19,996.49,252.93,919,133,0.746000,0.222959,-0.197367,0.746000,0.256115,-0.231220,0.721000
1786415587.013412,31,1,display,0.821600,883.96,37.70,977.10,104.95,931,71,0.791000,0.246919,-0.263697,0.791000,0.146960,-0.263697,0.791000
1786415587.3679667,32,0,meter,0.922653,828.66,45.06,974.08,266.92,901,156,0.758000,0.211437,-0.181194,0.758000,0.256115,-0.231220,0.723000
1786415587.3679667,32,1,display,0.921985,862.85,58.05,954.75,132.40,909,95,0.804000,0.231390,-0.246617,0.804000,0.231390,-0.263697,0.791000
1786415587.4990153,33,0,meter,0.937920,971.72,102.95,1104.59,316.13,1038,210,0.791000,0.340640,-0.141680,0.791000,0.256115,-0.231220,0.729000
