epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.6472,3.14941,6.16668,2.44751,0,0,0,0,2.97645,6.12353,2.2471,0.000531507,0.000531507,0.000531507
2,149.415,2.78292,5.58946,2.06777,0.00105,0.21154,0.03175,0.00499,2.97048,6.00812,1.9475,0.00107641,0.00107641,0.00107641
3,222.994,2.76823,5.01271,1.89279,0.00198,0.25,0.00876,0.00209,2.81697,5.78667,1.85419,0.00161031,0.00161031,0.00161031
4,295.927,2.74796,4.82791,1.8151,0,0,0,0,2.97463,5.94652,2.12427,0.00161749,0.00161749,0.00161749
5,368.085,2.57199,5.44168,1.80082,0.001,0.17308,0.00027,9e-05,3.15122,5.33059,2.22175,0.00160099,0.00160099,0.00160099
6,441.668,2.50199,4.77724,1.75911,0.00425,0.65385,0.13623,0.0469,2.6653,4.67313,1.81861,0.00158448,0.00158448,0.00158448
7,513.255,2.4427,4.43055,1.75598,0.6488,0.28846,0.29825,0.10678,2.66121,4.06433,1.75491,0.00156798,0.00156798,0.00156798
8,581.603,2.44882,4.37502,1.72605,0.2448,0.17589,0.188,0.0501,2.7872,4.27405,1.84175,0.00155148,0.00155148,0.00155148
9,652.631,2.41421,3.84582,1.67566,0.89326,0.19618,0.27952,0.07362,2.99553,4.4634,1.95815,0.00153497,0.00153497,0.00153497
10,727.939,2.32701,3.7312,1.61104,0.29997,0.19231,0.16852,0.02879,3.26537,4.58761,2.1616,0.00151847,0.00151847,0.00151847
11,800.239,2.1905,3.70991,1.55333,0.06628,0.11538,0.0499,0.01354,3.01402,4.66427,2.0007,0.00150197,0.00150197,0.00150197
12,872.356,2.21273,3.57758,1.5395,0.2414,0.26923,0.19103,0.06491,2.76438,4.08591,1.831,0.00148546,0.00148546,0.00148546
13,945.63,2.19146,3.55423,1.55725,0.67206,0.11538,0.09203,0.02145,3.3534,4.87935,2.20123,0.00146896,0.00146896,0.00146896
14,1017.83,2.24605,3.28558,1.49346,0.7569,0.13462,0.1567,0.04213,3.22234,4.5774,2.11891,0.00145246,0.00145246,0.00145246
15,1089.22,2.12566,3.06889,1.49595,0.00265,0.38462,0.07884,0.04032,3.2213,4.86975,2.13805,0.00143595,0.00143595,0.00143595
16,1161.32,2.14302,3.32862,1.51859,0.53612,0.01923,0.05338,0.01944,2.88756,4.51124,1.89146,0.00141945,0.00141945,0.00141945
17,1235.04,2.15849,3.16004,1.52745,0.70368,0.17308,0.13605,0.04201,2.60834,3.94607,1.70071,0.00140295,0.00140295,0.00140295
18,1309.53,2.01597,2.91065,1.44078,0.92337,0.19231,0.26934,0.09494,2.56127,3.67555,1.64421,0.00138644,0.00138644,0.00138644
19,1376.15,1.9896,3.00654,1.42149,0.88043,0.19231,0.34724,0.11789,2.5949,3.56159,1.64757,0.00136994,0.00136994,0.00136994
20,1442.36,1.93458,2.75984,1.39545,0.27482,0.18795,0.17806,0.07068,2.46721,3.96184,1.59754,0.00135344,0.00135344,0.00135344
21,1511.51,2.03157,2.88172,1.42558,0.85098,0.19231,0.24239,0.10133,2.22205,3.794,1.54996,0.00133693,0.00133693,0.00133693
