epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.0876,3.14941,6.16668,2.44751,0,0,0,0,2.97645,6.12353,2.2471,0.000531507,0.000531507,0.000531507
2,151.394,2.77268,5.55692,2.063,0.00111,0.21154,0.08241,0.01178,3.00368,6.25368,1.97403,0.0010513,0.0010513,0.0010513
3,225.363,2.7445,5.04826,1.88583,0.0023,0.30769,0.03021,0.00636,2.79389,5.64995,1.78205,0.00153441,0.00153441,0.00153441
4,303.418,2.73593,4.84811,1.77016,0.00094,0.17308,0.00113,0.0003,2.80736,5.79901,1.92217,0.00150197,0.00150197,0.00150197
5,373.934,2.58871,5.31996,1.73342,0.00333,0.51923,0.01487,0.00324,2.5597,5.05815,1.70765,0.00144696,0.00144696,0.00144696
6,445.573,2.52543,4.4859,1.7055,0.79354,0.09615,0.09142,0.02303,3.11638,4.9241,1.94178,0.00139195,0.00139195,0.00139195
7,519.449,2.59516,4.3532,1.79254,0.98666,0.17308,0.26974,0.10199,2.69233,4.21725,1.78014,0.00133693,0.00133693,0.00133693
8,592.81,2.4716,4.29966,1.69661,0.71972,0.13462,0.12149,0.02448,2.95778,4.57751,1.93843,0.00128192,0.00128192,0.00128192
9,670.713,2.43342,3.96202,1.67859,0.86641,0.03846,0.15938,0.05489,2.56854,4.48628,1.66554,0.00122691,0.00122691,0.00122691
10,746.079,2.30471,3.78476,1.61079,0.19338,0.03677,0.12079,0.04046,2.64268,4.2747,1.72531,0.0011719,0.0011719,0.0011719
11,822.899,2.1367,3.71339,1.51684,0.81158,0.19231,0.2567,0.09753,2.31585,4.10935,1.5484,0.00111689,0.00111689,0.00111689
12,902.193,2.21041,3.63497,1.53306,0.47063,0.21154,0.26212,0.10149,2.37651,3.99036,1.61618,0.00106188,0.00106188,0.00106188
13,975.723,2.12218,3.59885,1.52553,0.95709,0.17308,0.23333,0.0584,2.45364,4.29832,1.62742,0.00100687,0.00100687,0.00100687
14,1051.48,2.19742,3.30043,1.46673,0.82058,0.17188,0.20007,0.0665,2.47759,4.01674,1.62535,0.000951857,0.000951857,0.000951857
15,1128.43,2.05298,3.11849,1.43207,0.10232,0.23077,0.14925,0.05394,2.50979,4.19621,1.70407,0.000896846,0.000896846,0.000896846
16,1204.11,1.99382,3.22151,1.44363,0.13889,0.19231,0.10818,0.03932,2.56794,4.37833,1.7518,0.000841835,0.000841835,0.000841835
17,1280.71,2.00611,3.20335,1.44539,0.66889,0.21154,0.14791,0.05093,2.61478,4.19366,1.75024,0.000786824,0.000786824,0.000786824
18,1355.8,1.93547,2.9376,1.38742,0.81538,0.17308,0.27133,0.11151,2.44055,3.69328,1.63079,0.000731813,0.000731813,0.000731813
19,1433.23,1.96696,3.0655,1.39961,0.14824,0.26923,0.20598,0.07703,2.46189,3.66973,1.6241,0.000676802,0.000676802,0.000676802
20,1512.83,1.89672,2.74027,1.36375,0.1334,0.23077,0.16159,0.05466,2.4883,3.73798,1.6327,0.000621791,0.000621791,0.000621791
21,1589.33,1.82703,3.53397,1.35787,0.17041,0.26923,0.16275,0.04846,2.53912,3.59037,1.65466,0.00056678,0.00056678,0.00056678
22,1662.46,1.8011,3.48357,1.37684,0.70196,0.25,0.15403,0.04437,2.55347,3.97023,1.65425,0.000511769,0.000511769,0.000511769
23,1742.04,1.80078,3.38256,1.37328,0.72053,0.25,0.16785,0.0523,2.54914,3.97548,1.66074,0.000456758,0.000456758,0.000456758
24,1814.44,1.75286,3.39812,1.35661,0.73844,0.25,0.21919,0.07834,2.5392,3.8465,1.67438,0.000401747,0.000401747,0.000401747
25,1889.99,1.75302,3.26535,1.3507,0.73686,0.25,0.21132,0.06827,2.52856,3.90317,1.67339,0.000346736,0.000346736,0.000346736
26,1964.42,1.73192,3.20518,1.3443,0.21626,0.25,0.21344,0.06702,2.49448,4.00657,1.67086,0.000291725,0.000291725,0.000291725
27,2042.79,1.6831,3.22285,1.29205,0.27778,0.25,0.24227,0.07192,2.50366,4.09334,1.68054,0.000236714,0.000236714,0.000236714
28,2117.75,1.63781,3.12376,1.31927,0.22078,0.23077,0.19978,0.06085,2.50613,4.13404,1.68591,0.000181703,0.000181703,0.000181703
29,2195.13,1.66454,3.14226,1.28453,0.78351,0.22681,0.20218,0.05741,2.53233,4.03857,1.69536,0.000126692,0.000126692,0.000126692
30,2271.78,1.64755,3.18223,1.26917,0.80585,0.24258,0.22471,0.05951,2.54104,4.00823,1.69892,7.1681e-05,7.1681e-05,7.1681e-05
