split,image,label
train,images/train/full_frame_000060.jpg,labels/train/full_frame_000060.txt
train,images/train/full_frame_001950.jpg,labels/train/full_frame_001950.txt
train,images/train/full_frame_000360.jpg,labels/train/full_frame_000360.txt
train,images/train/full_frame_006390.jpg,labels/train/full_frame_006390.txt
train,images/train/full_frame_004620.jpg,labels/train/full_frame_004620.txt
train,images/train/full_frame_001080.jpg,labels/train/full_frame_001080.txt
train,images/train/full_frame_006030.jpg,labels/train/full_frame_006030.txt
train,images/train/full_frame_006450.jpg,labels/train/full_frame_006450.txt
train,images/train/full_frame_002220.jpg,labels/train/full_frame_002220.txt
train,images/train/full_frame_000390.jpg,labels/train/full_frame_000390.txt
train,images/train/full_frame_005040.jpg,labels/train/full_frame_005040.txt
train,images/train/full_frame_000450.jpg,labels/train/full_frame_000450.txt
train,images/train/full_frame_004830.jpg,labels/train/full_frame_004830.txt
train,images/train/full_frame_001620.jpg,labels/train/full_frame_001620.txt
train,images/train/full_frame_004050.jpg,labels/train/full_frame_004050.txt
train,images/train/full_frame_001320.jpg,labels/train/full_frame_001320.txt
train,images/train/full_frame_006000.jpg,labels/train/full_frame_006000.txt
train,images/train/full_frame_001260.jpg,labels/train/full_frame_001260.txt
train,images/train/full_frame_000150.jpg,labels/train/full_frame_000150.txt
train,images/train/full_frame_002370.jpg,labels/train/full_frame_002370.txt
train,images/train/full_frame_005160.jpg,labels/train/full_frame_005160.txt
train,images/train/full_frame_002310.jpg,labels/train/full_frame_002310.txt
train,images/train/full_frame_004560.jpg,labels/train/full_frame_004560.txt
train,images/train/full_frame_000900.jpg,labels/train/full_frame_000900.txt
train,images/train/full_frame_003750.jpg,labels/train/full_frame_003750.txt
train,images/train/full_frame_006660.jpg,labels/train/full_frame_006660.txt
train,images/train/full_frame_005190.jpg,labels/train/full_frame_005190.txt
train,images/train/full_frame_001110.jpg,labels/train/full_frame_001110.txt
train,images/train/full_frame_000090.jpg,labels/train/full_frame_000090.txt
train,images/train/full_frame_005340.jpg,labels/train/full_frame_005340.txt
train,images/train/full_frame_004470.jpg,labels/train/full_frame_004470.txt
train,images/train/full_frame_002010.jpg,labels/train/full_frame_002010.txt
train,images/train/full_frame_000960.jpg,labels/train/full_frame_000960.txt
train,images/train/full_frame_001830.jpg,labels/train/full_frame_001830.txt
train,images/train/full_frame_003270.jpg,labels/train/full_frame_003270.txt
train,images/train/full_frame_001560.jpg,labels/train/full_frame_001560.txt
train,images/train/full_frame_001860.jpg,labels/train/full_frame_001860.txt
train,images/train/full_frame_004770.jpg,labels/train/full_frame_004770.txt
train,images/train/full_frame_003210.jpg,labels/train/full_frame_003210.txt
train,images/train/full_frame_003780.jpg,labels/train/full_frame_003780.txt
train,images/train/full_frame_003450.jpg,labels/train/full_frame_003450.txt
train,images/train/full_frame_003060.jpg,labels/train/full_frame_003060.txt
train,images/train/full_frame_002100.jpg,labels/train/full_frame_002100.txt
train,images/train/full_frame_004290.jpg,labels/train/full_frame_004290.txt
train,images/train/full_frame_003810.jpg,labels/train/full_frame_003810.txt
train,images/train/full_frame_005550.jpg,labels/train/full_frame_005550.txt
train,images/train/full_frame_003510.jpg,labels/train/full_frame_003510.txt
train,images/train/full_frame_003900.jpg,labels/train/full_frame_003900.txt
train,images/train/full_frame_000000.jpg,labels/train/full_frame_000000.txt
train,images/train/full_frame_006270.jpg,labels/train/full_frame_006270.txt
train,images/train/full_frame_000480.jpg,labels/train/full_frame_000480.txt
train,images/train/full_frame_005280.jpg,labels/train/full_frame_005280.txt
train,images/train/full_frame_004380.jpg,labels/train/full_frame_004380.txt
train,images/train/full_frame_006360.jpg,labels/train/full_frame_006360.txt
train,images/train/full_frame_005520.jpg,labels/train/full_frame_005520.txt
train,images/train/full_frame_004650.jpg,labels/train/full_frame_004650.txt
train,images/train/full_frame_002970.jpg,labels/train/full_frame_002970.txt
train,images/train/full_frame_001140.jpg,labels/train/full_frame_001140.txt
train,images/train/full_frame_003090.jpg,labels/train/full_frame_003090.txt
train,images/train/full_frame_001290.jpg,labels/train/full_frame_001290.txt
train,images/train/full_frame_002610.jpg,labels/train/full_frame_002610.txt
train,images/train/full_frame_000300.jpg,labels/train/full_frame_000300.txt
train,images/train/full_frame_003180.jpg,labels/train/full_frame_003180.txt
train,images/train/full_frame_000570.jpg,labels/train/full_frame_000570.txt
train,images/train/full_frame_000420.jpg,labels/train/full_frame_000420.txt
train,images/train/full_frame_005370.jpg,labels/train/full_frame_005370.txt
train,images/train/full_frame_004200.jpg,labels/train/full_frame_004200.txt
train,images/train/full_frame_003720.jpg,labels/train/full_frame_003720.txt
train,images/train/full_frame_001980.jpg,labels/train/full_frame_001980.txt
train,images/train/full_frame_002400.jpg,labels/train/full_frame_002400.txt
train,images/train/full_frame_003120.jpg,labels/train/full_frame_003120.txt
train,images/train/full_frame_003870.jpg,labels/train/full_frame_003870.txt
train,images/train/full_frame_003390.jpg,labels/train/full_frame_003390.txt
train,images/train/full_frame_001650.jpg,labels/train/full_frame_001650.txt
train,images/train/full_frame_004140.jpg,labels/train/full_frame_004140.txt
train,images/train/full_frame_002430.jpg,labels/train/full_frame_002430.txt
train,images/train/full_frame_003420.jpg,labels/train/full_frame_003420.txt
train,images/train/full_frame_003150.jpg,labels/train/full_frame_003150.txt
train,images/train/full_frame_004950.jpg,labels/train/full_frame_004950.txt
train,images/train/full_frame_004230.jpg,labels/train/full_frame_004230.txt
train,images/train/full_frame_000990.jpg,labels/train/full_frame_000990.txt
train,images/train/full_frame_000540.jpg,labels/train/full_frame_000540.txt
train,images/train/full_frame_004170.jpg,labels/train/full_frame_004170.txt
train,images/train/full_frame_003570.jpg,labels/train/full_frame_003570.txt
train,images/train/full_frame_005310.jpg,labels/train/full_frame_005310.txt
train,images/train/full_frame_001920.jpg,labels/train/full_frame_001920.txt
train,images/train/full_frame_002580.jpg,labels/train/full_frame_002580.txt
train,images/train/full_frame_002790.jpg,labels/train/full_frame_002790.txt
train,images/train/full_frame_002940.jpg,labels/train/full_frame_002940.txt
train,images/train/full_frame_002190.jpg,labels/train/full_frame_002190.txt
train,images/train/full_frame_000810.jpg,labels/train/full_frame_000810.txt
train,images/train/full_frame_005910.jpg,labels/train/full_frame_005910.txt
train,images/train/full_frame_003240.jpg,labels/train/full_frame_003240.txt
train,images/train/full_frame_001530.jpg,labels/train/full_frame_001530.txt
train,images/train/full_frame_004980.jpg,labels/train/full_frame_004980.txt
train,images/train/full_frame_000120.jpg,labels/train/full_frame_000120.txt
train,images/train/full_frame_000870.jpg,labels/train/full_frame_000870.txt
train,images/train/full_frame_005880.jpg,labels/train/full_frame_005880.txt
train,images/train/full_frame_001230.jpg,labels/train/full_frame_001230.txt
train,images/train/full_frame_003960.jpg,labels/train/full_frame_003960.txt
train,images/train/full_frame_006540.jpg,labels/train/full_frame_006540.txt
train,images/train/full_frame_003990.jpg,labels/train/full_frame_003990.txt
train,images/train/full_frame_004590.jpg,labels/train/full_frame_004590.txt
train,images/train/full_frame_003480.jpg,labels/train/full_frame_003480.txt
train,images/train/full_frame_003690.jpg,labels/train/full_frame_003690.txt
train,images/train/full_frame_001440.jpg,labels/train/full_frame_001440.txt
train,images/train/full_frame_004080.jpg,labels/train/full_frame_004080.txt
train,images/train/full_frame_003840.jpg,labels/train/full_frame_003840.txt
train,images/train/full_frame_004410.jpg,labels/train/full_frame_004410.txt
train,images/train/full_frame_002910.jpg,labels/train/full_frame_002910.txt
train,images/train/full_frame_002070.jpg,labels/train/full_frame_002070.txt
train,images/train/full_frame_000630.jpg,labels/train/full_frame_000630.txt
train,images/train/full_frame_003930.jpg,labels/train/full_frame_003930.txt
train,images/train/full_frame_002340.jpg,labels/train/full_frame_002340.txt
train,images/train/full_frame_000270.jpg,labels/train/full_frame_000270.txt
train,images/train/full_frame_002520.jpg,labels/train/full_frame_002520.txt
train,images/train/full_frame_004920.jpg,labels/train/full_frame_004920.txt
train,images/train/full_frame_002760.jpg,labels/train/full_frame_002760.txt
train,images/train/full_frame_001020.jpg,labels/train/full_frame_001020.txt
train,images/train/full_frame_002640.jpg,labels/train/full_frame_002640.txt
train,images/train/full_frame_004740.jpg,labels/train/full_frame_004740.txt
train,images/train/full_frame_001350.jpg,labels/train/full_frame_001350.txt
train,images/train/full_frame_001410.jpg,labels/train/full_frame_001410.txt
train,images/train/full_frame_004110.jpg,labels/train/full_frame_004110.txt
train,images/train/full_frame_001380.jpg,labels/train/full_frame_001380.txt
train,images/train/full_frame_003300.jpg,labels/train/full_frame_003300.txt
train,images/train/full_frame_002460.jpg,labels/train/full_frame_002460.txt
train,images/train/full_frame_003630.jpg,labels/train/full_frame_003630.txt
train,images/train/full_frame_004860.jpg,labels/train/full_frame_004860.txt
train,images/train/full_frame_005100.jpg,labels/train/full_frame_005100.txt
train,images/train/full_frame_000750.jpg,labels/train/full_frame_000750.txt
train,images/train/full_frame_006210.jpg,labels/train/full_frame_006210.txt
train,images/train/full_frame_004350.jpg,labels/train/full_frame_004350.txt
train,images/train/full_frame_002250.jpg,labels/train/full_frame_002250.txt
